INSTNM,SAT_AVG_ALL,UGDS,UGDS_WHITE,MD_EARN_WNE_P10
Brightwood College-North Hollywood,NULL,812,0.1847,36500
Modesto Junior College,NULL,16280,0.3817,27800
Moler Barber College,NULL,123,0.0488,PrivacySuppressed
Middlebury Institute of International Studies at Monterey,1383,17,0.3529,55600
Monterey Peninsula College,NULL,7646,0.4001,31300
Moorpark College,NULL,13327,0.513,35400
Mt San Antonio College,NULL,26441,0.1154,33400
Mount Saint Mary's University,915,2767,0.0932,52000
Mt San Jacinto Community College District,NULL,13948,0.3227,26700
Mueller College,NULL,51,0.4314,PrivacySuppressed
Musicians Institute,NULL,1040,0.2558,27300
Napa Valley College,NULL,5700,0.3188,36700
National Holistic Institute,NULL,675,0.4296,27100
National University,NULL,8555,0.3822,58300
Newschool of Architecture and Design,NULL,403,0.2531,PrivacySuppressed
Newberry School of Beauty,NULL,152,0.4671,20200
North Adrian's College of Beauty Inc,NULL,228,0.3509,18700
North-West College-Pomona,NULL,265,0.0717,23900
North-West College-West Covina,NULL,560,0.0589,27700
North-West College-Pasadena,NULL,219,0.0959,20600
Notre Dame de Namur University,910,1097,0.2516,54400
Occidental College,1304,1997,0.4887,49700
Oceanside College of Beauty,NULL,48,0.4792,PrivacySuppressed
Ohlone College,NULL,8576,0.2065,40000
Orange Coast College,NULL,20809,0.3357,36300
Otis College of Art and Design,1045,1099,0.2457,44100
Oxnard College,NULL,6539,0.1537,30100
Hope International University,910,843,0.4199,35800
Concorde Career College-San Diego,NULL,647,0.1901,28500
Palo Alto University,NULL,168,0.2202,PrivacySuppressed
Pacific Lutheran Theological Seminary,NULL,NULL,NULL,NULL
Pacific Oaks College,NULL,543,0.1934,43100
Pacific School of Religion,NULL,NULL,NULL,NULL
Pacific States University,NULL,15,0,PrivacySuppressed
Pacific Union College,984,1508,0.2566,50200
University of the Pacific,1152,3720,0.2726,69300
Palo Verde College,NULL,3486,0.4452,24300
Palomar College,NULL,21154,0.4043,33900
Paris Beauty College,NULL,62,0.5161,PrivacySuppressed
Pasadena City College,NULL,25234,0.073,32700
Pepperdine University,1226,3514,0.4738,61100
Pitzer College,NULL,1067,0.4752,47100
Platt College-San Diego,NULL,252,0.3889,29400
Point Loma Nazarene University,1148,2763,0.5856,49100
Pomona College,1435,1640,0.3976,56600
Porterville College,NULL,3527,0.1602,25900
Professional Institute of Beauty,NULL,108,0,13500
Santa Ana College,NULL,27575,0.2144,32600
Pardee RAND Graduate School,NULL,NULL,NULL,NULL
Shasta School of Cosmetology,NULL,53,0.6981,NULL
University of Redlands,1130,3452,0.4751,52100
College of the Redwoods,NULL,2648,0.577,26400
Salon Success Academy-Upland,NULL,108,0.3426,PrivacySuppressed
Salon Success Academy-Corona,NULL,88,0.2727,PrivacySuppressed
Rio Hondo College,NULL,15941,0.075,33300
Riverside City College,NULL,17010,0.2089,30500
Argosy University-San Francisco Bay Area,NULL,110,0.2818,37800
Rosemead Beauty School,NULL,193,0,11100
Dongguk University-Los Angeles,NULL,75,0.0933,PrivacySuppressed
Rudolf Steiner College,NULL,24,0.375,NULL
Sacramento City College,NULL,20781,0.2774,33100
Saddleback College,NULL,17879,0.5364,36200
Samuel Merritt University,NULL,506,0.3676,106700
San Diego City College,NULL,14129,0.237,27400
Golf Academy of America-San Diego,NULL,132,0.4848,24400
San Diego Mesa College,NULL,20807,0.3313,35800
San Diego Miramar College,NULL,11557,0.3866,36900
San Diego State University,1130,28649,0.3414,48300
University of San Diego,1236,5551,0.5332,59300
San Francisco Art Institute,NULL,404,0.4653,32400
San Francisco Conservatory of Music,NULL,157,0.3248,25400
San Francisco State University,979,25867,0.2062,48000
San Francisco Theological Seminary,NULL,NULL,NULL,NULL
University of San Francisco,1172,6682,0.2703,59900
San Joaquin College of Law,NULL,NULL,NULL,NULL
San Joaquin Delta College,NULL,15208,0.2289,29700
San Joaquin Valley College-Visalia,NULL,5605,0.246,27100
William Jessup University,1012,1093,0.6578,35200
San Jose City College,NULL,7271,0.1675,28000
San Jose State University,1055,26670,0.1922,53700
College of San Mateo,NULL,7679,0.2804,38700
Santa Barbara Business College-Bakersfield,NULL,487,0.1417,22800
Santa Barbara Business College-Santa Maria,NULL,166,0.1807,27800
Santa Barbara City College,NULL,15092,0.4114,34600
Santa Clara University,1313,5344,0.4869,69600
Santa Monica College,NULL,28136,0.2602,32500
Santa Rosa Junior College,NULL,19537,0.5477,34600
Saybrook University,NULL,NULL,NULL,NULL
Scripps College,1362,968,0.4835,49700
College of the Sequoias,NULL,10174,0.2452,26100
Shasta Bible College and Graduate School,NULL,43,0.814,PrivacySuppressed
Shasta College,NULL,7432,0.6843,26000
Sierra College,NULL,16911,0.5772,28800
Sierra College of Beauty,NULL,151,0.2715,13700
Sierra Valley College of Court Reporting,NULL,79,0.557,26800
Trinity Law School,1042,NULL,NULL,41000
Simpson University,1001,959,0.5954,32800
College of the Siskiyous,NULL,1887,0.5628,26100
Charles A Jones Career and Education Center,NULL,491,0.3035,26100
Skyline College,NULL,8557,0.1914,39100
San Bernardino Valley College,NULL,11503,0.1405,27000
Saint Mary's College of California,1124,2916,0.4633,56600
Solano Community College,NULL,8398,0.3142,32700
Sonoma State University,996,8589,0.4795,45000
South Baylo University,NULL,66,0.1364,22400
South Coast College,NULL,315,0.3524,34200
Vanguard University of Southern California,975,1856,0.4531,36800
Concorde Career College-Garden Grove,NULL,639,0.1299,36900
Southwestern College,NULL,16786,0.1017,30400
Starr King School for the Ministry,NULL,NULL,NULL,NULL
Marshall B Ketchum University,NULL,NULL,NULL,80400
Southern California Institute of Architecture,1116,255,0.1294,44400
University of Southern California,1391,18519,0.4013,70400
Southwestern Law School,NULL,NULL,NULL,80000
Taft College,NULL,4093,0.3042,33600
Claremont School of Theology,NULL,NULL,NULL,PrivacySuppressed
Thomas Aquinas College,1280,377,0.6976,40100
Epic Bible College,NULL,162,0.3827,28100
United Education Institute-Huntington Park Campus,NULL,624,0.0208,24300
Concorde Career College-San Bernardino,NULL,561,0.2068,27400
Universal College of Beauty Inc-Los Angeles 1,NULL,21,0,14500
Concorde Career College-North Hollywood,NULL,466,0.118,39300
Ventura College,NULL,11735,0.2941,32500
Victor Valley Beauty College Inc,NULL,98,0.2245,12500
Victor Valley College,NULL,9817,0.2918,26200
Berkeley City College,NULL,6539,0.2519,31000
Walden University,NULL,7815,0.4192,58900
Waynes College of Beauty,NULL,27,0.1111,NULL
West Hills College-Coalinga,NULL,2369,0.1992,26500
West Los Angeles College,NULL,9892,0.1278,29900
West Valley College,NULL,7504,0.4448,34900
Carrington College-Sacramento,NULL,1272,0.3687,29000
Westminster Theological Seminary in California,NULL,NULL,NULL,NULL
Westmont College,1179,1296,0.6366,49200
