INSTNM,SAT_AVG_ALL,UGDS,UGDS_WHITE,MD_EARN_WNE_P10
Virginia College-Charleston,NULL,344,0.1802,24400
Paul Mitchell the School-Cleveland,NULL,141,0.3972,NULL
Paul Mitchell the School-Columbus,NULL,185,0.6486,NULL
Georgia Beauty Academy,NULL,143,0.7413,NULL
Empire Beauty School-Lauderhill,NULL,97,0.0515,20600
Empire Beauty School-Spring Lake Park,NULL,126,0.2937,17000
MediaTech Institute-Austin,NULL,69,0.3623,PrivacySuppressed
MediaTech Institute-Houston,NULL,96,0.1667,PrivacySuppressed
Fortis College-Phoenix,NULL,293,0.3208,31200
Miller-Motte College-Raleigh,NULL,394,0.2766,19000
Lamson Institute,NULL,174,0.1552,32200
College of Hair Design-East Campus,NULL,80,0.8625,19400
Sanford-Brown College-Online,NULL,468,0.4936,28400
Le Cordon Bleu College of Culinary Arts-St Louis,NULL,142,0.6197,32600
Heritage College-Wichita,NULL,339,0.6873,23700
Heritage College-Little Rock,NULL,453,0.4503,21300
Argosy University-Phoenix Online Division,NULL,6858,0.5093,37800
MedTech College-Greenwood Campus,NULL,320,0.725,28300
MedTech College-Ft Wayne Campus,NULL,390,0.641,28300
MedTech College-Lexington Campus,NULL,389,0.7095,28300
ITT Technical Institute-Madison,NULL,169,0.213,38800
ITT Technical Institute-Springfield,NULL,111,0.8108,38800
ITT Technical Institute-Huntington,NULL,155,0.8839,38800
ITT Technical Institute-Concord,NULL,233,0.3433,38800
ITT Technical Institute-Fort Myers,NULL,317,0.511,38800
ITT Technical Institute-Charlotte North,NULL,379,0.1609,38800
Fortis College-Salt Lake City,NULL,368,0.6875,23500
Polytechnic University of Puerto Rico-Miami,NULL,52,0.0385,28100
Polytechnic University of Puerto Rico-Orlando,NULL,98,0.0306,28100
Ross Medical Education Center-Fort Wayne,NULL,120,0.55,23600
Ross Medical Education Center-Portage,NULL,174,0.7184,20400
The Commonwealth Medical College,NULL,NULL,NULL,NULL
Josef's West Academy,NULL,41,1,23100
Northeast Technology Center-Claremore,NULL,40,0.775,28200
Salon Success Academy-Fontana,NULL,62,0.0645,PrivacySuppressed
Salon Success Academy-Redlands,NULL,86,0.3605,PrivacySuppressed
Brown Mackie College-Phoenix,NULL,510,0.4412,29600
Strayer University-West Virginia,NULL,162,0.821,47300
Regency Beauty Institute-Tinley Park,NULL,70,0.0143,21800
Regency Beauty Institute-Columbia,NULL,24,0.0833,21800
Regency Beauty Institute-South Bend,NULL,62,0.4032,21800
Regency Beauty Institute-Detroit Lakeside,NULL,71,0.3944,21800
Regency Beauty Institute-Fort Myers,NULL,21,0.1429,21800
Regency Beauty Institute-Arlington,NULL,90,0.0667,21800
Regency Beauty Institute-Durham,NULL,40,0.025,21800
Minnesota School of Business-Elk River,NULL,134,0.903,32700
Brown Mackie College-Greenville,NULL,572,0.3112,29600
Globe University-Sioux Falls,NULL,121,0.7686,28500
Globe University-Eau Claire,NULL,105,0.9619,28500
Vanguard College of Cosmetology-Baton Rouge,NULL,126,0.5714,PrivacySuppressed
Globe University-Minneapolis,NULL,15,0.3333,28500
Beauty Schools of America-Homestead,NULL,508,0.0157,15000
South Texas Vocational Technical Institute-Brownsville,NULL,202,0.0099,20200
South Texas Vocational Technical Institute-Corpus Christi,NULL,237,0.1857,18900
L'Ecole Culinaire-Memphis,NULL,402,0.1766,26900
University of Minnesota-Rochester,1285,402,0.7861,49800
Health And Style Institute,NULL,202,0.3762,PrivacySuppressed
College of Business and Technology-Cutler Bay,NULL,112,0.0804,23900
American National University-Columbus,NULL,50,0.22,21600
Herzing University-Toledo,NULL,215,0.3721,40300
Capri Beauty College,NULL,50,0.9,19300
Milan Institute-Bakersfield,NULL,344,0.3314,16100
Homestead Schools,NULL,132,0.0379,NULL
Carrington College-Las Vegas,NULL,370,0.2595,24800
Carrington College-Reno,NULL,327,0.6942,26800
Chamberlain College of Nursing-Florida,NULL,969,0.2456,49000
Remington College-Columbia Campus,NULL,294,0.1463,26300
Remington College of Nursing Orlando,NULL,111,0.4865,26300
Washington Barber College Inc,NULL,103,0,NULL
InterCoast Colleges-Rancho Cordova,NULL,26,0.2692,22800
Horizon University,NULL,29,0.6207,NULL
San Diego Culinary Institute,NULL,104,0.4808,NULL
Beyond 21st Century Beauty Academy,NULL,57,0.1053,NULL
Academy for Jewish Religion-California,NULL,NULL,NULL,NULL
Angeles College,NULL,183,0.0437,NULL
Angeles Institute,NULL,128,0.0703,NULL
Paul Mitchell the School-Temecula,NULL,251,0.4861,NULL
European Academy of Cosmetology and Hairdressing,NULL,9,1,NULL
International Institute of Cosmetology,NULL,144,0.8125,NULL
Florida School of Traditional Midwifery,NULL,63,0.7778,NULL
Emerald Coast Technical College,NULL,70,0.7714,NULL
Immokalee Technical College,NULL,197,0.1624,NULL
American Academy of Cosmetology,NULL,19,0.4737,NULL
University of Fort Lauderdale,NULL,22,0.0455,NULL
Aviation Institute of Maintenance-Orlando,NULL,200,0.275,NULL
Summit Salon Academy,NULL,151,0.6821,NULL
Summit Salon Academy-Gainesville,NULL,24,0.5,NULL
Tenaj Salon Institute,NULL,74,0.6757,NULL
Profile Institute of Barber-Styling,NULL,64,0,NULL
Keune Academy by 124,NULL,81,0.7037,NULL
Pacific Rim Christian University,NULL,96,0.2292,26700
D & L Academy of Hair Design,NULL,18,0.6111,NULL
Master Educators Beauty School,NULL,30,0.7,NULL
Ambria College of Nursing,NULL,425,0.3224,PrivacySuppressed
Midwestern Career College,NULL,315,0.1556,NULL
Paul Mitchell the School-Normal,NULL,113,0.885,NULL
Innovations Design Academy,NULL,40,0.9,NULL
Aveda Fredric's Institute-Indianapolis,NULL,228,0.8991,NULL
Summit Salon Academy-Anderson,NULL,95,0.9053,NULL
Eric Fisher Academy,NULL,171,0.7836,NULL
A & W Healthcare Educators,NULL,20,0,NULL
My Le's Beauty College,NULL,33,0.1515,NULL
Blackstone Valley Vocational Regional School District,NULL,48,0.875,NULL
Southern Worcester County Regional Voc School District,NULL,23,0.8696,NULL
L'esprit Academy,NULL,152,0.6382,NULL
Marketti Academy of Cosmetology,NULL,64,0.6719,NULL
CenterPoint Massage and Shiatsu Therapy School and Clinic,NULL,82,0.878,NULL
Avalon School of Cosmetology,NULL,31,0.7097,NULL
American Business and Technology University,NULL,288,0.4167,NULL
City Vision University,NULL,72,0.4583,NULL
Transformed Barber and Cosmetology Academy,NULL,78,0.0385,NULL
Bitterroot School of Cosmetology,NULL,22,1,NULL
Atlanta Beauty & Barber Academy,NULL,116,0.0259,NULL
Montana Academy of Salons,NULL,80,0.85,NULL
Park West Barber School,NULL,302,0.0199,NULL
National Career Institute,NULL,227,0.0132,NULL
Toni & Guy Hairdressing Academy-Albuquerque,NULL,154,0.2792,NULL
International Academy of Style,NULL,91,0.5934,NULL
EDP School of Computer Programming,NULL,138,0.7174,NULL
New York Medical Career Training Center,NULL,358,0.0391,NULL
Institute of Culinary Education,NULL,626,0.3962,NULL
New Life Business Institute,NULL,49,0,NULL
The Salon Professional Academy-Tonawanda,NULL,132,0.7121,NULL
Onondaga School of Therapeutic Massage-Syracuse,NULL,64,0.9375,NULL
Academy of Cosmetology and Esthetics NYC,NULL,91,0.6154,NULL
Finger Lakes School of Massage,NULL,95,0.8842,NULL
Four County Career Center,NULL,159,0.9245,NULL
Vanity School of Cosmetology,NULL,61,0.459,NULL
Summit Salon Academy-Perrysburg,NULL,66,0.7273,NULL
Portland Actors Conservatory,NULL,25,0.8,NULL
Somerset County Technology Center,NULL,62,1,NULL
Metro Beauty Academy,NULL,162,0.784,NULL
Barone Beauty Academy,NULL,24,0.9583,NULL
Academy for Careers and Technology,NULL,53,0.1698,NULL
Aiken School of Cosmetology and Barbering,NULL,36,0.6667,NULL
Love Beauty School Inc,NULL,69,0.9275,NULL
Professional Career Training Institute,NULL,114,0.0526,NULL
Houston International College Cardiotech Ultrasound School,NULL,50,0.2,NULL
DuVall's School of Cosmetology,NULL,83,0.6627,NULL
Advanced Beauty College,NULL,54,0.0185,NULL
Texas Beauty College,NULL,43,0,NULL
Avenue Five Institute,NULL,203,0.5172,NULL
The Salon Professional Academy-Lewisville,NULL,60,0.5833,NULL
Renaissance Academie,NULL,65,0.9231,NULL
Bethel College,NULL,58,0.3621,NULL
Institute of Advanced Medical Esthetics,NULL,14,0.7857,NULL
Gary Manuel Aveda Institute,NULL,376,0.7287,NULL
Northwest School of Wooden Boat Building,NULL,62,0.8548,NULL
Pinchot University,NULL,NULL,NULL,NULL
The Salon Professional Academy-Onalaska,NULL,74,0.8378,NULL
Regency Beauty Institute-North Tucson,NULL,61,0.082,21800
Brightwood College-Chula Vista,NULL,259,0.0425,35500
InterCoast Colleges-Roseville,NULL,18,0.6667,22800
West Coast University-Orange County,NULL,1705,0.2628,46400
West Coast University-Ontario,NULL,1116,0.3602,46400
Virginia College-Augusta,NULL,769,0.1365,24400
Midwest Technical Institute-East Peoria,NULL,387,0.708,28100
Paul Mitchell the School-Chicago,NULL,288,0.2083,PrivacySuppressed
Brightwood College-Indianapolis,NULL,588,0.4065,22100
Regency Beauty Institute-Evansville,NULL,41,0.3902,21800
Regency Beauty Institute-Shreveport,NULL,66,0.2273,21800
Regency Beauty Institute-Springfield,NULL,54,0.4259,21800
Regency Beauty Institute-Canton,NULL,89,0.427,21800
Regency Beauty Institute-Spartanburg,NULL,26,0.1923,21800
Regency Beauty Institute-Chattanooga,NULL,38,0.2105,21800
Regency Beauty Institute-Mesquite,NULL,63,0.0476,21800
Dorsey Business Schools-Waterford Pontiac,NULL,156,0.3205,21600
Regina's College of Beauty-High Point,NULL,51,0,PrivacySuppressed
Miller-Motte College-Fayetteville,NULL,584,0.1421,19000
European Massage Therapy School-Las Vegas,NULL,87,0.1724,PrivacySuppressed
Harrison College-Grove City,NULL,266,0.6353,23600
Miller-Motte Technical College-Columbus,NULL,461,0.0954,23000
National University College-Ponce,NULL,1307,0,17100
Fortis College-Grand Prairie,NULL,231,0.1082,24900
The Art Institute of Virginia Beach,NULL,527,0.3833,30400
Bryant & Stratton College-Bayshore,NULL,423,0.1797,22900
Virginia College-Columbia,NULL,449,0.0668,24400
Fortis College-Indianapolis,NULL,265,0.2981,22200
Brightwood College-Arlington,NULL,383,0.1567,31400
Brightwood College-Charlotte,NULL,306,0.0458,24600
Globe University-Madison East,NULL,165,0.8242,28500
Minnesota School of Business-Lakeville,NULL,138,0.7754,32700
Globe University-Green Bay,NULL,130,0.8231,28500
Globe University-Madison West,NULL,138,0.7536,28500
Globe University-Wausau,NULL,103,0.9126,28500
Empire Beauty School-E Memphis,NULL,139,0.0863,17200
Empire Beauty School-Nashville,NULL,64,0.5625,17800
Empire Beauty School-Jackson,NULL,51,0.1176,15700
Empire Beauty School-Springfield,NULL,184,0.212,20600
Empire Beauty School-Paramus,NULL,122,0.2295,15700
Empire Beauty School-Speedway,NULL,160,0.1688,21000
Empire Beauty School-Morrow,NULL,250,0.02,15700
Strayer University-Arkansas,NULL,151,0.2583,47300
Strayer University-Georgia,NULL,4501,0.0986,47300
Strayer University-Mississippi,NULL,178,0.0281,47300
Strayer University-South Carolina,NULL,1438,0.217,47300
Strayer University-Texas,NULL,1364,0.2023,47300
The Art Institute of San Antonio,NULL,1062,0.2834,33500
Globe University-La Crosse,NULL,138,0.8913,28500
The Hair Design School-S Memphis,NULL,124,0.0242,21000
The Hair Design School-Charlotte,NULL,82,0.0244,16900
The Hair Design School-E Greensboro,NULL,80,0.075,15700
The Hair Design School-Winston-Salem,NULL,82,0.1707,15700
Empire Beauty School-West Palm,NULL,77,0.3377,20600
Empire Beauty School-Pineville,NULL,104,0.2308,17000
The Hair Design School-N Memphis,NULL,68,0.0147,19100
Virginia Tech Carilion School of Medicine,NULL,NULL,NULL,NULL
Broadview Entertainment Arts University,NULL,115,0.7739,25900
Bryant & Stratton College-Hampton,NULL,488,0.0943,22900
Paul Mitchell the School-Phoenix,NULL,146,0.3699,NULL
All Beauty College,NULL,13,0.7692,NULL
Northern California Institute of Cosmetology Inc,NULL,28,0,NULL
Golden State College of Court Reporting,NULL,47,0.7872,NULL
Trinity School of Health and Allied Sciences,NULL,101,0.0495,NULL
Paul Mitchell the School-Modesto,NULL,103,0.2233,NULL
Cosmo Beauty Academy,NULL,93,0.2473,NULL
Paul Mitchell the School-Fresno,NULL,280,0.3893,NULL
Unitek College,NULL,821,0.0889,NULL
Gurnick Academy of Medical Arts,NULL,957,0.2299,NULL
Southern California University SOMA,NULL,17,0.0588,NULL
Paul Mitchell the School-East Bay,NULL,194,0.3557,NULL
South University-Richmond,NULL,614,0.3502,30300
South University-Virginia Beach,NULL,567,0.3422,30300
Aveda Institute-Denver,NULL,387,0.6589,NULL
Paul Mitchell the School-Colorado Springs,NULL,233,0.5794,NULL
The Salon Professional Academy-Colorado Springs,NULL,60,0.7833,NULL
Paul Mitchell the School-Delaware,NULL,135,0.4963,NULL
Future-Tech Institute,NULL,128,0,NULL
Marchman Technical Education Center,NULL,204,0.7206,NULL
Eureka Institute of Health and Beauty,NULL,63,0,NULL
The Salon Professional Academy-Ft Myers,NULL,35,0.8286,NULL
SOLEX College,NULL,76,0.3684,NULL
Unity Cosmetology College,NULL,40,0.925,NULL
Universal Spa Training Academy,NULL,146,0.3973,NULL
The Salon Professional Academy-Evansville,NULL,99,0.9495,NULL
Tri County Regional Vocational Technical High School,NULL,56,0.7321,NULL
Compass College of Cinematic Arts,NULL,116,0.8448,NULL
Nova Academy of Cosmetology,NULL,59,0.7627,NULL
Starting Points Inc,NULL,46,0.2174,NULL
SAE Institute of Technology-New York,NULL,128,0.3359,NULL
John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry,NULL,8,0.875,NULL
The Artisan College of Cosmetology,NULL,23,0.913,NULL
Sage School of Massage & Esthetics,NULL,14,0.9286,NULL
Peloton College,NULL,93,0.0538,NULL
ABC Beauty Academy,NULL,72,0.0139,NULL
Salon & Spa Institute,NULL,64,0.0156,NULL
American Beauty Academy,NULL,26,0.9615,NULL
Summit Salon Academy,NULL,132,0.7652,NULL
Paul Mitchell the School-Milwaukee,NULL,131,0.5267,NULL
ITT Technical Institute-Merrillville,NULL,251,0.3227,38800
ITT Technical Institute-Tallahassee,NULL,320,0.275,38800
ITT Technical Institute-Salem,NULL,194,0.6031,38800
ITT Technical Institute-Akron,NULL,216,0.7037,38800
ITT Technical Institute-Corona,NULL,392,0.3342,38800
ITT Technical Institute-Johnson City,NULL,129,0.845,38800
ITT Technical Institute-DeSoto,NULL,229,0.0961,38800
ITT Technical Institute-North Charleston,NULL,272,0.3199,38800
ITT Technical Institute-Aurora,NULL,213,0.4554,38800
ITT Technical Institute-Dearborn,NULL,320,0.2313,38800
ITT Technical Institute-Las Vegas,NULL,449,0.3096,38800
Touro University Worldwide,NULL,382,0.4581,NULL
Touro University California,NULL,NULL,NULL,NULL
The Chicago School of Professional Psychology at Washington DC,NULL,NULL,NULL,NULL
Touro University Nevada,NULL,66,0.5,NULL
Herzing University-Kenosha,NULL,410,0.6317,40300
Herzing University-Brookfield,NULL,320,0.6156,40300
Texas A&M University-San Antonio,937,3630,0.2154,NULL
Fortis Institute-Houston,NULL,362,0.0608,27200
Southern Careers Institute-Brownsville,NULL,564,0.0301,20500
Southern Careers Institute-Harlingen,NULL,428,0.0327,20500
Strayer University-Global Region,NULL,4416,0.3976,47300
Regina's College of Beauty-Charlotte,NULL,89,0,PrivacySuppressed
Kenneth Shuler School of Cosmetology-Florence,NULL,154,0.526,16000
Fortis College-Columbia,NULL,393,0.1705,26600
Brown Mackie College-Albuquerque,NULL,610,0.3295,29600
Brown Mackie College-St Louis,NULL,347,0.5591,29600
Avant Gard The School,NULL,49,0.9184,NULL
The Beauty Institute-Schwarzkopf Professional-Bellingham,NULL,67,0.6866,20900
California University of Management and Sciences,NULL,84,0.0357,NULL
Ross Medical Education Center-Davison,NULL,150,0.8667,23300
Ross Medical Education Center-Granger,NULL,193,0.5959,24400
Ross Medical Education Center-Niles,NULL,201,0.6667,23600
Ross Medical Education Center-Canton,NULL,147,0.7347,20400
Pima Medical Institute-Houston,NULL,917,0.2236,27700
Illinois Media School-Chicago Campus,NULL,229,0.1703,31700
South Texas Vocational Technical Institute-San Antonio,NULL,441,0.1973,NULL
Concorde Career College-Dallas,NULL,611,0.252,29400
Concorde Career Institute-Orlando,NULL,333,0.2132,19800
Concorde Career College-San Antonio,NULL,580,0.1879,25500
Ecotech Institute,NULL,242,0.095,24400
Johnson & Wales University-Online,NULL,244,0.5738,36600
Everest College-Fort Worth South,NULL,437,0.2105,24000
Geisinger-Lewistown Hospital School of Nursing,NULL,43,1,NULL
Moreno Valley College,NULL,7269,0.1622,NULL
Hair Design Institute at Fifth Avenue-New York,NULL,107,0.0187,15800
Onondaga School of Therapeutic Massage-Rochester,NULL,53,0.7547,NULL
Norco College,NULL,8104,0.2469,NULL
Dorsey Business Schools-Saginaw,NULL,216,0.4213,21600
Milan Institute of Cosmetology-La Quinta,NULL,140,0.2714,16000
Milan Institute-Nampa,NULL,168,0.4881,16100
Milan Institute of Cosmetology-El Paso,NULL,435,0.0621,16000
Universal Technical Institute - Dallas Fort Worth,NULL,1178,0.4643,44300
Finger Lakes School of Massage,NULL,71,0.7324,NULL
Park Avenue School of Cosmetology,NULL,53,0.9245,NULL
Salter School of Nursing and Allied Health,NULL,145,0.7241,27100
Salter School-New Bedford,NULL,64,0.5313,27100
Harris School of Business-Upper Darby Campus,NULL,581,0.0207,23400
Brown Mackie College-San Antonio,NULL,712,0.184,29600
Hollywood Institute of Beauty Careers,NULL,8,0,NULL
Cortiva Institute-New Jersey,NULL,109,0.6055,PrivacySuppressed
Cambridge Junior College-Woodland,NULL,56,0.1429,PrivacySuppressed
ICPR Junior College-Manati,NULL,488,0,15400
Ridley-Lowell Business & Technical Institute-Danbury,NULL,131,0.5115,25400
Artistic Nails and Beauty Academy-Lakeland,NULL,54,0.2593,PrivacySuppressed
Allied American University,NULL,2410,0.5199,NULL
American Sentinel University,NULL,1569,0.6883,NULL
Tribeca Flashpoint College,NULL,288,0.5521,NULL
Hawaii Medical College,NULL,14,0,NULL
Carolina College of Hair Design,NULL,58,0.6897,NULL
Virginia College-Baton Rouge,NULL,435,0.0621,24400
Remington College-Heathrow Campus,NULL,252,0.381,26300
College of Massage Therapy,NULL,32,0.875,NULL
Miller-Motte College-Jacksonville,NULL,412,0.4563,19000
Miller-Motte Technical College-Augusta,NULL,363,0.124,23000
Miller-Motte Technical College-Conway,NULL,518,0.388,19000
Virginia College-Macon,NULL,312,0.0833,24400
Virginia College-Spartanburg,NULL,258,0.3605,24400
Aveda Institute-Portland,NULL,249,0.6827,NULL
Chamberlain College of Nursing-Virginia,NULL,489,0.2331,49000
Stevens-Henager College,NULL,308,0.6364,27700
Summit Salon Academy-Cincinnati,NULL,42,0.4524,PrivacySuppressed
Penrose Academy,NULL,183,0.8306,NULL
Virginia College-Richmond,NULL,336,0.1101,24400
Skin Institute,NULL,61,0.8852,NULL
Northwest Institute of Literary Arts,NULL,NULL,NULL,NULL
Body Therapy Institute,NULL,72,0.8194,NULL
Beauty Academy of South Florida,NULL,215,0.0326,NULL
Ogle School Hair Skin Nails-North Dallas,NULL,119,0.2605,19900
The Salon Professional Academy-North Little Rock,NULL,69,0.7391,NULL
The Salon Professional Academy-St Charles,NULL,80,0.7125,NULL
American College for Medical Careers,NULL,508,0.1969,27100
Mildred Elley-New York Campus,NULL,923,0.0206,23000
National Paralegal College,NULL,938,0.4126,NULL
Carolina College of Biblical Studies,NULL,117,0.4017,NULL
Star Career Academy-Audubon,NULL,195,0.3231,31600
Allstate Hairstyling & Barber College,NULL,40,0.325,NULL
Oxford Graduate School,NULL,NULL,NULL,NULL
Jung Tao School of Classical Chinese Medicine,NULL,NULL,NULL,NULL
New York Film Academy,NULL,1357,0.3581,NULL
The Collective School Of Music,NULL,56,0.4643,NULL
International College of Cosmetology,NULL,189,0.0159,NULL
Bella Capelli Academy,NULL,233,0.8369,NULL
Institute of Medical Careers,NULL,123,0.2846,NULL
Toni & Guy Hairdressing Academy-Modesto,NULL,11,0.7273,NULL
Georgia Christian University,NULL,153,0.0065,NULL
Flagler Technical Institute,NULL,217,0.6728,NULL
Galaxy Medical College,NULL,49,0.6939,NULL
American Medical Sciences Center,NULL,73,0.7397,NULL
Mandalyn Academy,NULL,70,0.7857,NULL
Jose Maria Vargas University,NULL,25,0,NULL
Laird Institute of Spa Therapy,NULL,69,0.8551,NULL
D A Dorsey Technical College,NULL,130,0.0846,NULL
Keweenaw Bay Ojibwa Community College,NULL,81,0.2716,NULL
Meridian Institute of Surgical Assisting,NULL,402,0.6517,NULL
Mauna Loa Helicopters,NULL,26,0.4615,NULL
Acaydia School of Aesthetics,NULL,49,0.8776,NULL
Manhattan Institute,NULL,682,0.0748,NULL
Cosmetic Arts Institute,NULL,41,0.6098,NULL
Holistic Massage Training Institute,NULL,28,0.5714,NULL
Diamonds Cosmetology College,NULL,48,0.7083,NULL
Tramy Beauty School,NULL,221,0.095,NULL
Northern Virginia School of Therapeutic Massage,NULL,83,0.6024,NULL
Paul Mitchell the School-St Louis,NULL,178,0.6461,NULL
Advanced Training Institute,NULL,505,0.2772,NULL
Cosmopolitan Beauty and Tech School,NULL,146,0.0068,NULL
Salon 496 Barber Academy,NULL,36,0.0278,NULL
Shepherds Theological Seminary,NULL,0,0,NULL
Taylor Andrews Academy of Hair Design-West Jordan,NULL,167,0.7904,NULL
Santa Ana Beauty Academy,NULL,49,0.1429,NULL
Grace College of Divinity,NULL,113,0.6195,NULL
Cosmetology College of Franklin County,NULL,22,0.9091,NULL
Rochester School of Hair Design,NULL,23,0.7826,NULL
Aveda Institute-New Mexico,NULL,182,0.0165,NULL
Nashville Barber and Style Academy,NULL,30,0.0333,NULL
American Trade School,NULL,97,0.3814,NULL
Estelle Skin Care and Spa Institute,NULL,89,0.6067,NULL
Paul Mitchell the School-Honolulu,NULL,134,0.2388,NULL
Elite Cosmetology School,NULL,72,0.5972,NULL
American Technical Institute,NULL,17,0,NULL
Bergin University of Canine Studies,NULL,28,0.5714,NULL
Aveda Institute-Boise,NULL,56,0.9286,NULL
American Health Institute,NULL,85,0.6,NULL
Pima Medical Institute-Aurora,NULL,322,0.3913,NULL
Real Barbers College,NULL,115,0.0783,NULL
Capilo School of Hair Design,NULL,162,0.9444,NULL
Pure Aesthetics,NULL,29,0.4138,NULL
Lindsey Institute of Cosmetology,NULL,55,0.8364,NULL
The Salon Professional Academy-Iowa City,NULL,52,0.8077,NULL
Buckner Barber School,NULL,24,0,NULL
Simmons College of Kentucky,NULL,216,0.0093,NULL
Atelier Esthetique Institute of Esthetics,NULL,107,0.3645,NULL
Advanced College of Cosmetology,NULL,35,0.9143,NULL
North American University,NULL,476,0.0882,NULL
Entourage Institute of Beauty and Esthetics,NULL,72,0.5417,NULL
United Beauty College,NULL,76,0.0263,NULL
Cinta Aveda Institute,NULL,279,0.3656,NULL
Long Island Nail & Skin Care Institute,NULL,161,0.6087,NULL
Mesivta Keser Torah,NULL,34,1,NULL
Southern California Health Institute,NULL,293,0.2696,NULL
Best Care College,NULL,72,0,NULL
First Class Cosmetology School,NULL,62,0.4677,NULL
Millennia Atlantic University,NULL,91,0.011,NULL
Abcott Institute,NULL,132,0.1212,NULL
The Salon Professional Academy-Kenosha,NULL,86,0.593,NULL
Paul Mitchell the School-Indianapolis,NULL,148,0.8649,NULL
Taylor Andrews Academy-St George,NULL,126,0.8333,NULL
Seymour Beauty Academy,NULL,22,1,NULL
Protege Academy,NULL,64,0.7344,NULL
Colorado Academy of Veterinary Technology,NULL,67,0.9254,NULL
Northeast Technical Institute,NULL,477,0.9182,NULL
Academy for Salon Professionals,NULL,102,0.3039,NULL
Elite School of Cosmetology,NULL,42,0.8095,NULL
Paul Mitchell the School-Las Vegas,NULL,285,0.5298,NULL
The Salon Professional Academy-Kokomo,NULL,96,0.9063,NULL
Hair Academy,NULL,13,0.1538,NULL
Florida Academy,NULL,136,0.6029,NULL
Institute for Doctoral Studies in the Visual Arts,NULL,NULL,NULL,NULL
State Career College,NULL,85,0.0588,NULL
Academy for Salon Professionals,NULL,61,0.541,NULL
Paul Mitchell the School-Spokane,NULL,158,0.8544,NULL
J Renee College,NULL,93,0.2043,NULL
National Personal Training Institute of Colorado,NULL,86,0.686,NULL
National Personal Training Institute of Colorado,NULL,49,0.6939,NULL
International College of Beauty Arts & Sciences,NULL,54,0.3519,NULL
The Salon Professional Academy-Shorewood,NULL,59,0.7458,NULL
John Paul the Great Catholic University,1106,206,0.5388,NULL
ITT Technical Institute-Durham,NULL,334,0.3054,38800
ITT Technical Institute-Hanover,NULL,353,0.2351,38800
University of Phoenix-Mississippi,NULL,34,0.0588,48400
Independence University,NULL,5704,0.5517,27700
National American University-Tulsa,NULL,131,0.3511,34800
National American University-Centennial,NULL,216,0.5417,34800
National American University-Lee's Summit,NULL,260,0.5615,34800
National American University-Colorado Springs South,NULL,213,0.5117,34800
Globe University-Appleton,NULL,138,0.8986,28500
Salter College-Chicopee,NULL,134,0.3284,27100
Chamberlain College of Nursing-Missouri,NULL,560,0.7893,49000
Chamberlain College of Nursing-Texas,NULL,639,0.1925,49000
ITT Technical Institute-Oakland,NULL,173,0.1503,38800
Continental School of Beauty Culture-Mattydale,NULL,217,0.6774,18300
Carrington College-Pomona,NULL,406,0.266,29000
Regency Beauty Institute-Copperwood,NULL,86,0.0698,21800
Regency Beauty Institute-Little Rock,NULL,72,0.0972,21800
Regency Beauty Institute-Baltimore Golden Ring,NULL,54,0.1296,21800
Regency Beauty Institute-El Paso,NULL,82,0.0854,21800
Regency Beauty Institute-Jacksonville Regency,NULL,30,0.0667,21800
Regency Beauty Institute-Knoxville,NULL,24,0.125,21800
Regency Beauty Institute-Fayetteville,NULL,30,0.3333,21800
Regency Beauty Institute-Lansing,NULL,27,0.3704,21800
Regency Beauty Institute-Jacksonville Orange Park,NULL,45,0.1556,21800
Regency Beauty Institute-Crystal Lake,NULL,71,0.2535,21800
Regency Beauty Institute-Manassas,NULL,52,0.2115,21800
Regency Beauty Institute-Castleton,NULL,34,0.1471,21800
Regency Beauty Institute-North Nashville,NULL,66,0.2576,21800
Regency Beauty Institute-Round Rock,NULL,81,0.1481,21800
Regency Beauty Institute-Merrillville,NULL,86,0.1395,21800
Regency Beauty Institute-Roanoke,NULL,49,0.1633,21800
Regency Beauty Institute-Toledo,NULL,23,0,21800
Regency Beauty Institute-SW Houston,NULL,74,0.0405,21800
Everest College-Atlanta West,NULL,467,0.0278,28300
Broadview University-Boise,NULL,86,0.814,25900
Paul Mitchell the School-Columbia,NULL,200,0.52,16400
Paul Mitchell the School-Charleston,NULL,197,0.7056,16400
Kenneth Shuler School of Cosmetology-Greenville,NULL,150,0.7333,PrivacySuppressed
South University-Accelerated Graduate Programs,NULL,NULL,NULL,30300
South University-The Art Institute of Fort Worth,NULL,181,0.5249,30300
South University-Novi,NULL,339,0.5723,30300
Northwest College-Eugene,NULL,141,0.773,20400
Northwest College-Tualatin,NULL,82,0.7683,20400
Harrison College-Morrisville,NULL,202,0.2673,23600
Trend Setters' Academy of Beauty Culture-Louisville,NULL,131,0.5038,14500
National University College-Caguas,NULL,1077,0,17100
Beauty Schools of America,NULL,296,0.125,15000
CET-Soledad,NULL,154,0.013,22000
United Education Institute-UEI College San Marcos,NULL,364,0.228,NULL
Houston Training Schools-Southwest,NULL,139,0.0144,16400
Vanguard College of Cosmetology-Metairie,NULL,129,0.5116,PrivacySuppressed
United Education Institute-Anaheim,NULL,550,0.1436,NULL
New England Tractor Trailer Training School of Massachusetts,NULL,173,0.4624,39000
Heritage College-Columbus,NULL,333,0.4655,23700
Utah College of Massage Therapy-Vegas,NULL,370,0.3757,24500
